xVal,yVal
0,0
0.02,0.0769554
0.04,0.14721
0.06,0.211405
0.08,0.270125
0.1,0.323897
0.12,0.373199
0.14,0.418462
0.16,0.460071
0.18,0.498375
0.2,0.533685
0.22,0.56628
0.24,0.59641
0.26,0.624302
0.28,0.650155
0.3,0.674153
0.32,0.696456
0.34,0.717212
0.36,0.736553
0.38,0.754596
0.4,0.77145
0.42,0.787211
0.44,0.801967
0.46,0.815796
0.48,0.828771
0.5,0.840957
0.52,0.852413
0.54,0.863193
0.56,0.873347
0.58,0.882919
0.6,0.891951
0.62,0.90048
0.64,0.90854
0.66,0.916163
0.68,0.923379
0.7,0.930213
0.72,0.93669
0.74,0.942833
0.76,0.948664
0.78,0.9542
0.8,0.95946
0.82,0.964461
0.84,0.969218
0.86,0.973745
0.88,0.978055
0.9,0.982161
0.92,0.986074
0.94,0.989805
0.96,0.993363
0.98,0.996759
1,1
