xVal,yVal
0,0
0.01,0.196218
0.02,0.300497
0.03,0.365238
0.04,0.409002
0.05,0.440196
0.06,0.463234
0.07,0.480675
0.08,0.494115
0.09,0.504606
0.1,0.512872
0.11,0.51943
0.12,0.524659
0.13,0.528843
0.14,0.532203
0.15,0.53491
0.16,0.537098
0.17,0.538878
0.18,0.540337
0.19,0.541547
0.2,0.542569
0.21,0.543452
0.22,0.544238
0.23,0.544961
0.24,0.545651
0.25,0.546332
0.26,0.547026
0.27,0.54775
0.28,0.54852
0.29,0.549348
0.3,0.550246
0.31,0.551224
0.32,0.552289
0.33,0.55345
0.34,0.55471
0.35,0.556077
0.36,0.557555
0.37,0.559147
0.38,0.560858
0.39,0.56269
0.4,0.564645
0.41,0.566728
0.42,0.568938
0.43,0.571279
0.44,0.573753
0.45,0.576361
0.46,0.579104
0.47,0.581985
0.48,0.585005
0.49,0.588166
0.5,0.591469
0.51,0.594915
0.52,0.598506
0.53,0.602245
0.54,0.606131
0.55,0.610168
0.56,0.614357
0.57,0.618699
0.58,0.623198
0.59,0.627854
0.6,0.632671
0.61,0.63765
0.62,0.642793
0.63,0.648104
0.64,0.653585
0.65,0.659238
0.66,0.665067
0.67,0.671075
0.68,0.677265
0.69,0.683639
0.7,0.690203
0.71,0.696959
0.72,0.703911
0.73,0.711063
0.74,0.71842
0.75,0.725985
0.76,0.733763
0.77,0.74176
0.78,0.749979
0.79,0.758427
0.8,0.767108
0.81,0.776027
0.82,0.785192
0.83,0.794607
0.84,0.804278
0.85,0.814213
0.86,0.824419
0.87,0.8349
0.88,0.845666
0.89,0.856724
0.9,0.868081
0.91,0.879745
0.92,0.891724
0.93,0.904027
0.94,0.916663
0.95,0.929641
0.96,0.942971
0.97,0.956661
0.98,0.970722
0.99,0.985165
1,1
