idealTrays,Feed_location,reflux_ratio,Qc,Qb,diameter,Converge
14,7,1.93039931,-8.789054196,9.827013205,5.826929664,TRUE
14,6,2.06986719,-9.20719389,10.24517383,5.946133722,TRUE
14,8,1.95228982,-8.854652937,9.892629906,5.845213918,TRUE
13,7,2.02793804,-9.08132005,10.11926872,5.910256519,TRUE
13,6,2.13621617,-9.405721897,10.44360232,6.002179173,FALSE
13,8,2.10551336,-9.314122836,10.35211015,5.976460497,TRUE
15,7,1.8702726,-8.608580089,9.646567693,5.629742403,TRUE
15,6,2.03022937,-9.088338048,10.12632435,5.758587781,TRUE
15,8,1.85795364,-8.571790635,9.609741396,5.619755707,TRUE
15,9,1.92620418,-8.776328041,9.814314305,5.675168957,TRUE
16,7,1.8337056,-8.498718708,9.536756596,5.741629115,TRUE
16,6,2.00671133,-9.017798298,10.05579105,5.892124408,TRUE
16,8,1.80015411,-8.39839402,9.43632774,5.712097743,TRUE
16,9,1.83357428,-8.498510373,9.536498731,5.741573605,TRUE
17,7,1.81092976,-8.430597044,9.468585192,5.721610868,TRUE
